School ID,School Name,Graduates,Enrollments,Enrollment Pct,year_x,ncessch,school_id,school_name_x,leaid_x,lea_name,state_leaid,seasch,street_mailing,city_mailing,state_mailing,zip_mailing,street_location,city_location,state_location,zip_location,phone,fips_x,latitude_x,longitude_x,csa,cbsa,urban_centric_locale,county_code,school_level,school_type,school_status,lowest_grade_offered,highest_grade_offered,bureau_indian_education,title_i_status,title_i_eligible,title_i_schoolwide,charter,magnet,shared_time,virtual,teachers_fte,free_lunch,reduced_price_lunch,free_or_reduced_price_lunch,elem_cedp,high_cedp,middle_cedp,ungrade_cedp,enrollment,state_leg_district_lower,state_leg_district_upper,ncessch_num,congress_district_id,direct_certification,lunch_program,schoolid_cps,schoolname_cps,fullname_cps,schoolname2_cps,isbe_name_cps,street_number_cps,street_direction_cps,street_name_cps,city_cps,state_cps,zip_cps,cps_unit_cps,oracleid_cps,school_category_cps,community_area_number_cps,community_area_cps,geographicarea_cps,geographic_area_number_cps,cook_county_district_cps,census_block_cps,latitude_cps,longitude_cps,ncessch_num_cps,ncessch_cps,census_tract_cps,cps_ccd_cw_merge,cw_not_in_cps_col_enrl,crdc_id,year_y,fips_y,leaid_y,enrollment_crdc,teachers_certified_fte_crdc,counselors_fte_crdc,law_enforcement_fte_crdc,salaries_crdc,enrl_AP_crdc,enrl_AP_science_crdc,enrl_AP_math_crdc,enrl_AP_other_crdc,enrl_AP_language_crdc,crdc_not_matched,pov_rate,tot_hhld,tot_hhld_int,unemp_rate_25_64,internet_rate,emp_rate_25_64,above_pov_rate,census_tract_x,acs_not_matched,oracle_id,school_name_y,FY 2017 Ending Budget,cps_budget_not_in_cps_col_enrl,food_stamps,median_earnings,census_tract_y,inc_fs_not_matched,year,date,statefips,countyfips,ctfips,latitude_y,longitude_y,ds_pm_pred,ds_pm_stdd,aqi_not_matched
400022,CHIARTS HS,126,96,76.2,2017,1.70993E+11,6058,Chicago HS for the Arts,1709930,City of Chicago SD 299,IL-15-016-2990-25,1.50163E+12,2714 W Augusta Blvd,Chicago,IL,60622,2714 W Augusta Blvd,Chicago,IL,60622,(773)534-9710,Illinois,41.899534,-87.695034,176,16980,City large,17031,High,Regular school,Open,9,12,,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,Yes,No,No,,275,0,275,No,Yes,No,No,612,17004,17002,1.70993E+11,1704,,Yes under the Community Eligibility Provision (CEP),400022,Chgo Arts Contr HS,Chicago High School for the Arts,Chgo Arts Contr HS,Chicago HS for the Arts,521,E,35th St,Chicago,IL,60616i,8047,63051,HS,35,Douglas,Bronzeville,15,3,1.70314E+14,41.83114497,-87.61362868,1.70993E+11,1.70993E+11,17031351000,both,both,1.70993E+11,2017,Illinois,1709930,620,39,2,0,3247853.75,255,25,17,249,0,both,25.5,2335,1899,5.7,81.32762313,94.3,74.5,17031351000,both,63051,Chicago High School for the Arts,5879136,both,136,45978,17031351000,both,2016,1-Jan-16,17,31,17031351000,41.83471,-87.61091,10.1389,3.9302,both
400035,CHICAGO MATH & SCIENCE HS,86,73,84.9,2017,1.70993E+11,5092,Chicago Math & Sci Elem Charter,1709930,City of Chicago SD 299,IL-15-016-2990-25,150162990217C,7212 N Clark St,Chicago,IL,60626,7212 N Clark St,Chicago,IL,60626,(773)761-8960,Illinois,42.008825,-87.672858,176,16980,City large,17031,High,Regular school,Open,6,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,Yes,Yes,No,No,39,554,0,554,No,Yes,Yes,No,596,17014,17007,1.70993E+11,1709,,Yes under the Community Eligibility Provision (CEP),400035,Chgo Math & Sci Acad Campus HS,Chicago Math and Science Academy High School,Chgo Math & Sci Acad Campus HS,Chicago Math & Sci Elem Charter,7212,N,Clark St,Chicago,IL,60626,7940,66281,HS,1,Rogers Park,Ravenswood,30,13,1.7031E+14,42.01303461,-87.67478186,1.70993E+11,1.70993E+11,17031010202,both,both,1.70993E+11,2017,Illinois,1709930,592,45,2,0,2232963,112,33,62,84,0,both,17.5,976,682,6.1,69.87704918,93.9,82.5,17031010202,both,66281,Chicago Math and Science Academy (CMSA) Charter School,6831023,both,250,25643,17031010202,both,2016,1-Jan-16,17,31,17031010202,42.01607,-87.67335,9.7122,3.9438,both
400091,CHICAGO TECH HS,78,44,56.4,2017,1.70993E+11,6076,Chicago Technology Academy HS,1709930,City of Chicago SD 299,IL-15-016-2990-25,1.50163E+12,1301 W 14th St,Chicago,IL,60608,1301 W 14th St,Chicago,IL,60608,(773)534-7755,Illinois,41.863183,-87.659626,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,22,223,0,223,No,Yes,No,No,241,17009,17005,1.70993E+11,1707,,Yes under the Community Eligibility Provision (CEP),400091,Chicago Tech Academy,Chicago Technology Academy High School,Chicago Tech Academy,Chicago Technology Academy HS,1301,W,14th St,Chicago,IL,60608,8022,63091,HS,28,Near West Side,Near West,23,2,1.70318E+14,41.86332884,-87.65909602,1.70993E+11,1.70993E+11,17031842900,both,both,1.70993E+11,2017,Illinois,1709930,240,23,1,0,2236946,37,0,0,36,0,both,36.3,1148,538,7.2,46.8641115,92.8,63.7,17031842900,both,63091,Chicago Technology Academy High School,3339878,both,429,24038,17031842900,both,2016,1-Jan-16,17,31,17031842900,41.86315,-87.67292,9.8363,3.6836,both
400094,EPIC HS,76,64,84.2,2017,1.70993E+11,6088,EPIC Academy High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,150162990015C,8255 S Houston Ave,Chicago,IL,60617,8255 S Houston Ave,Chicago,IL,60617,(773)535-7930,Illinois,41.744942,-87.549779,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,Yes,No,No,No,1,518,0,518,No,Yes,No,No,538,17025,17013,1.70993E+11,1702,,Yes under the Community Eligibility Provision (CEP),400094,Epic Chtr HS,EPIC Academy High School,Epic Chtr HS,EPIC Academy High School,8255,S,Houston Ave,Chicago,IL,60617,8058,63081,HS,46,South Chicago,South Shore,11,4,1.70315E+14,41.74484818,-87.55025899,1.70993E+11,1.70993E+11,17031460100,both,both,1.70993E+11,2017,Illinois,1709930,541,29,1,0,3436328,32,0,0,32,0,both,40.5,1105,746,20.3,67.51131222,79.7,59.5,17031460100,both,63081,EPIC Academy,5988562,both,489,25115,17031460100,both,2016,1-Jan-16,17,31,17031460100,41.7431,-87.53993,10.3656,4.0998,both
400147,CAMELOT - EXCEL HS,75,17,22.7,2017,1.70993E+11,6219,Chicago Excel Academy HS,1709930,City of Chicago SD 299,IL-15-016-2990-25,1.50163E+12,1257 W 111th St,Chicago,IL,60643,1257 W 111th St,Chicago,IL,60643,(773)629-8379,Illinois,41.69194,-87.654321,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,,277,0,277,No,Yes,No,No,281,17027,17014,1.70993E+11,1701,,Yes under the Community Eligibility Provision (CEP),400147,Chicago Excel Contr Acad,Chicago Excel Academy,Chicago Excel Contr Acad,Chicago Excel Acad,1269,W,111th St,Chicago,IL,60643,9066,63141,HS,75,Morgan Park,Far South Side,22,4,1.70318E+14,41.69215764,-87.65446453,1.70993E+11,1.70993E+11,17031750600,both,both,1.70993E+11,2017,Illinois,1709930,300,11,1.48,0,1927247,0,0,0,0,0,both,33.7,1208,696,13.2,57.61589404,86.8,66.3,17031750600,both,63141,Chicago Excel/Camelot,3002939,both,443,24271,17031750600,both,2016,1-Jan-16,17,31,17031750600,41.68863,-87.65207,9.8593,3.6794,both
609674,CHICAGO VOCATIONAL HS,217,98,45.2,2017,1.70993E+11,943,Chicago Vocational Career Acad HS,1709930,City of Chicago SD 299,IL-15-016-2990-25,1.50163E+12,2100 E 87th St,Chicago,IL,60617,2100 E 87th St,Chicago,IL,60617,(773)535-6100,Illinois,41.737729,-87.572866,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,48,827,0,827,No,Yes,No,No,861,17033,17017,1.70993E+11,1702,,Yes under the Community Eligibility Provision (CEP),609674,Chicago Vocational HS,Chicago Vocational Career Academy High School,Chicago Vocational HS,Chicago Vocational Career Acad HS,2100,E,87th St,Chicago,IL,60617,1010,53011,HS,45,Avalon Park,Chatham,12,4,1.70315E+14,41.84596533,-87.68554722,1.70993E+11,1.70993E+11,17031450300,both,both,1.70993E+11,2017,Illinois,1709930,880,53,4,0,4733731.5,54,0,0,54,0,both,16.2,1361,901,15.3,66.20132256,84.7,83.8,17031450300,both,53011,Chicago Vocational Career Academy,11034938,both,356,30176,17031450300,both,2016,1-Jan-16,17,31,17031450300,41.74194,-87.57907,10.2797,3.9834,both
609676,DUNBAR HS,151,78,51.7,2017,1.70993E+11,588,Dunbar Vocational Career Acad HS,1709930,City of Chicago SD 299,IL-15-016-2990-25,1.50163E+12,3000 S King Dr,Chicago,IL,60616,3000 S King Dr,Chicago,IL,60616,(773)534-9000,Illinois,41.839591,-87.618741,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,28,437,0,437,No,Yes,No,No,439,17005,17003,1.70993E+11,1701,,Yes under the Community Eligibility Provision (CEP),609676,Dunbar HS,Paul Laurence Dunbar Career Academy High School,Dunbar HS,Dunbar Vocational Career Acad HS,3000,S,King Dr,Chicago,IL,60616,1030,53021,HS,35,Douglas,Bronzeville,15,3,1.70318E+14,41.88751636,-87.70216585,1.70993E+11,1.70993E+11,17031839200,both,both,1.70993E+11,2017,Illinois,1709930,457,35,1,5,2850257.75,0,0,0,0,0,both,22.2,1418,1073,9.1,75.66995769,90.9,77.8,17031839200,both,53021,Dunbar Vocational Career Academy,7836177,both,304,28500,17031839200,both,2016,1-Jan-16,17,31,17031839200,41.84202,-87.62204,9.9915,4.0702,both
609678,JONES HS,430,382,88.8,2017,1.70993E+11,990,Jones College Prep High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1.50163E+12,700 S State St,Chicago,IL,60605,700 S State St,Chicago,IL,60605,(773)534-8600,Illinois,41.874066,-87.628054,176,16980,City large,17031,High,Regular school,Open,9,12,,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,Yes,No,No,100,735,0,735,No,Yes,No,No,1861,17006,17003,1.70993E+11,1707,,Yes under the Community Eligibility Provision (CEP),609678,Jones HS,William Jones College Preparatory High School,Jones HS,Jones College Prep High School,700,S,State St,Chicago,IL,60605,1060,47021,HS,32,Loop,Loop,1,2,1.70318E+14,41.7371465,-87.5732668,1.70993E+11,1.70993E+11,17031839000,both,both,1.70993E+11,2017,Illinois,1709930,1865,109.6,7,0,8996421,1210,310,268,1081,0,both,20.2,4720,4022,2.9,85.21186441,97.1,79.8,17031839000,both,47021,William Jones College Prep High School,14343535,both,335,60016,17031839000,both,2016,1-Jan-16,17,31,17031839000,41.87108,-87.63137,10.1048,3.8969,both
609679,PROSSER HS,314,228,72.6,2017,1.70993E+11,681,Prosser Career Academy HS,1709930,City of Chicago SD 299,IL-15-016-2990-25,1.50163E+12,2148 N Long Ave,Chicago,IL,60639,2148 N Long Ave,Chicago,IL,60639,(773)534-3200,Illinois,41.91938,-87.761802,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,79,1292,0,1292,No,Yes,No,No,1395,17003,17002,1.70993E+11,1704,,Yes under the Community Eligibility Provision (CEP),609679,Prosser HS,Charles Allen Prosser Career Academy High School,Prosser HS,Prosser Career Academy HS,2148,N,Long Ave,Chicago,IL,60639,1070,53041,HS,19,Belmont Cragin,Belmont Cragin,26,8,1.70312E+14,41.84022611,-87.61760075,1.70993E+11,1.70993E+11,17031191200,both,both,1.70993E+11,2017,Illinois,1709930,1394,85.7,3.5,0,6643762,286,0,0,287,0,both,30.2,988,528,3.9,53.44129555,96.1,69.8,17031191200,both,53041,Charles Allen Prosser Career Academy,13656595,both,211,22686,17031191200,both,2016,1-Jan-16,17,31,17031191200,41.9201,-87.76078,9.6087,3.5015,both
609682,RICHARDS HS,42,20,47.6,2017,1.70993E+11,718,Richards Career Academy HS,1709930,City of Chicago SD 299,IL-15-016-2990-25,1.50163E+12,5009 S Laflin St,Chicago,IL,60609,5009 S Laflin St,Chicago,IL,60609,(773)535-4945,Illinois,41.802843,-87.662097,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,15,213,0,213,No,Yes,No,No,217,17006,17003,1.70993E+11,1707,,Yes under the Community Eligibility Provision (CEP),609682,Richards HS,Ellen H Richards Career Academy High School,Richards HS,Richards Career Academy HS,5009,S,Laflin St,Chicago,IL,60609,1110,53051,HS,61,New City,McKinley Park,17,7,1.70316E+14,41.92006006,-87.76101158,1.70993E+11,1.70993E+11,17031611200,both,both,1.70993E+11,2017,Illinois,1709930,217,16,1,0,1497494.625,0,0,0,0,0,both,42.2,708,379,14.1,53.53107345,85.9,57.8,17031611200,both,53051,Ellen H Richards Career Academy,3326017,both,241,16722,17031611200,both,2016,1-Jan-16,17,31,17031611200,41.80503,-87.6624,9.9797,3.7125,both
609691,NORTH-GRAND HS,184,126,68.5,2017,1.70993E+11,5074,North-Grand High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1.50163E+12,4338 W Wabansia Ave,Chicago,IL,60639,4338 W Wabansia Ave,Chicago,IL,60639,(773)534-8520,Illinois,41.912521,-87.735313,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,57,922,0,922,No,Yes,No,No,968,17004,17002,1.70993E+11,1704,,Yes under the Community Eligibility Provision (CEP),609691,North-grand HS,North-Grand High School,North-grand HS,North-Grand High School,4338,W,Wabansia Ave,Chicago,IL,60639,1140,46431,HS,23,Humboldt Park,Humboldt Park,21,8,1.70312E+14,41.90154615,-87.63446373,1.70993E+11,1.70993E+11,17031230500,both,both,1.70993E+11,2017,Illinois,1709930,960,63,4,0,5013560.5,136,24,0,122,0,both,38.2,1124,702,2.8,62.45551601,97.2,61.8,17031230500,both,46431,North Grand High School,9469949,both,433,23232,17031230500,both,2016,1-Jan-16,17,31,17031230500,41.9117,-87.73394,9.6941,3.4654,both
609692,SIMEON HS,303,202,66.7,2017,1.70993E+11,758,Simeon Career Academy High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1.50163E+12,8147 S Vincennes Ave,Chicago,IL,60620,8147 S Vincennes Ave,Chicago,IL,60620,(773)535-3200,Illinois,41.74549,-87.634742,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,66,1212,0,1212,No,Yes,No,No,1335,17031,17016,1.70993E+11,1701,,Yes under the Community Eligibility Provision (CEP),609692,Simeon HS,Neal F Simeon Career Academy High School,Simeon HS,Simeon Career Academy High School,8147,S,Vincennes Ave,Chicago,IL,60620,1150,53061,HS,44,Chatham,Auburn Gresham,5,4,1.70318E+14,41.80288087,-87.66231452,1.70993E+11,1.70993E+11,17031842400,both,both,1.70993E+11,2017,Illinois,1709930,1335,71,2,0,6499405.5,0,0,0,0,0,both,26.1,1275,912,22.1,71.52941176,77.9,73.9,17031842400,both,53061,Neal F Simeon Vocational High School,12474172,both,278,28821,17031842400,both,2016,1-Jan-16,17,31,17031842400,41.74248,-87.63002,10.0512,3.8845,both
609694,HANCOCK HS,200,162,81,2017,1.70993E+11,1980,Hancock College Preparatory HS,1709930,City of Chicago SD 299,IL-15-016-2990-25,1.50163E+12,4034 W 56th St,Chicago,IL,60629,4034 W 56th St,Chicago,IL,60629,(773)535-2410,Illinois,41.791703,-87.724928,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,Yes,No,No,52,835,0,835,No,Yes,No,No,967,17022,17011,1.70993E+11,1703,,Yes under the Community Eligibility Provision (CEP),609694,Hancock HS,John Hancock College Preparatory High School,Hancock HS,Hancock College Preparatory HS,4034,W,56th St,Chicago,IL,60629,1200,46021,HS,62,West Elsdon,McKinley Park,17,7,1.70316E+14,41.74578671,-87.63544628,1.70993E+11,1.70993E+11,17031620300,both,both,1.70993E+11,2017,Illinois,1709930,971,57.5,3,0,4828365,349,50,36,323,0,both,9.9,1993,1578,8.2,79.17711992,91.8,90.1,17031620300,both,46021,Hancock High School,8207701,both,448,28426,17031620300,both,2016,1-Jan-16,17,31,17031620300,41.78951,-87.73045,9.8276,3.5142,both
609695,AMUNDSEN HS,225,159,70.7,2017,1.70993E+11,587,Amundsen High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1.50163E+12,5110 N Damen Ave,Chicago,IL,60625,5110 N Damen Ave,Chicago,IL,60625,(773)534-2320,Illinois,41.975232,-87.680089,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,64,1023,0,1023,No,Yes,No,No,1227,17013,17007,1.70993E+11,1705,,Yes under the Community Eligibility Provision (CEP),609695,Amundsen HS,Roald Amundsen High School,Amundsen HS,Amundsen High School,5110,N,Damen Ave,Chicago,IL,60625,1210,46031,HS,4,Lincoln Square,Ravenswood,30,12,1.7031E+14,41.89000464,-87.70733287,1.70993E+11,1.70993E+11,17031040402,both,both,1.70993E+11,2017,Illinois,1709930,1226,75,3,0,6422065.5,45,0,29,16,0,both,6.9,2479,2391,2.7,96.45018152,97.3,93.1,17031040402,both,46031,Roald Amundsen High School,11637203,both,140,57849,17031040402,both,2016,1-Jan-16,17,31,17031040402,41.9725,-87.67874,9.7316,3.9025,both
609698,BOGAN HS,160,93,58.1,2017,1.70993E+11,626,Bogan High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1.50163E+12,3939 W 79th St,Chicago,IL,60652,3939 W 79th St,Chicago,IL,60652,(773)535-2180,Illinois,41.748598,-87.720583,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,46,719,0,719,No,Yes,No,No,778,17032,17016,1.70993E+11,1701,,Yes under the Community Eligibility Provision (CEP),609698,Bogan HS,William J Bogan High School,Bogan HS,Bogan High School,3939,W,79th St,Chicago,IL,60652,1230,46041,HS,70,Ashburn,Ashburn,6,11,1.70317E+14,41.79143647,-87.72446996,1.70993E+11,1.70993E+11,17031700401,both,both,1.70993E+11,2017,Illinois,1709930,781,56,1,2,4260358.5,0,0,0,0,0,both,15,1857,1380,8,74.31340872,92,85,17031700401,both,46041,William J Bogan Computer Technical High School,9157882,both,415,32458,17031700401,both,2016,1-Jan-16,17,31,17031700401,41.74554,-87.71203,9.7969,3.6026,both
609704,FARRAGUT HS,170,79,46.5,2017,1.70993E+11,788,Farragut Career Academy HS,1709930,City of Chicago SD 299,IL-15-016-2990-25,1.50163E+12,2345 S Christiana Av,Chicago,IL,60623,2345 S Christiana Av,Chicago,IL,60623,(773)534-1300,Illinois,41.849562,-87.708282,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,51,724,0,724,No,Yes,No,No,728,17021,17011,1.70993E+11,1704,,Yes under the Community Eligibility Provision (CEP),609704,Farragut HS,David G Farragut Career Academy High School,Farragut HS,Farragut Career Academy HS,2345,S,Christiana Ave,Chicago,IL,60623,1300,53091,HS,30,South Lawndale,Pilsen - Little Village,16,7,1.70313E+14,41.74940305,-87.72109816,1.70993E+11,1.70993E+11,17031300800,both,both,1.70993E+11,2017,Illinois,1709930,728,59,2,1,4645916.5,17,0,0,17,0,both,42,1103,537,6.1,48.68540345,93.9,58,17031300800,both,53091,David G Farragut Career Academy High School,10052878,both,540,18619,17031300800,both,2016,1-Jan-16,17,31,17031300800,41.84813,-87.70758,9.8624,3.6215,both
609705,FENGER HS,51,25,49,2017,1.70993E+11,792,Fenger Academy High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1.50163E+12,11220 S Wallace St,Chicago,IL,60628,11220 S Wallace St,Chicago,IL,60628,(773)535-5430,Illinois,41.689552,-87.637839,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,13,238,0,238,No,Yes,No,No,244,17028,17014,1.70993E+11,1702,,Yes under the Community Eligibility Provision (CEP),609705,Fenger HS,Christian Fenger Academy High School,Fenger HS,Fenger Academy High School,11220,S,Wallace St,Chicago,IL,60628,1310,46111,HS,49,Roseland,Far South Side,22,5,1.70315E+14,41.87752873,-87.68324895,1.70993E+11,1.70993E+11,17031491200,both,both,1.70993E+11,2017,Illinois,1709930,251,13,1,0,1526499.125,0,0,0,0,0,both,27.4,694,485,19.8,69.88472622,80.2,72.6,17031491200,both,46111,Christian Fenger Academy,3762467,both,212,24266,17031491200,both,2016,1-Jan-16,17,31,17031491200,41.68879,-87.63746,10.0796,3.7659,both
609708,FOREMAN HS,205,112,54.6,2017,1.70993E+11,799,Foreman High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1.50163E+12,3235 N Leclaire Ave,Chicago,IL,60641,3235 N Leclaire Ave,Chicago,IL,60641,(773)534-3400,Illinois,41.939595,-87.753937,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,43,765,0,765,No,Yes,No,No,798,17039,17020,1.70993E+11,1704,,Yes under the Community Eligibility Provision (CEP),609708,Foreman HS,Edwin G Foreman High School,Foreman HS,Foreman High School,3235,N,LeClaire Ave,Chicago,IL,60641,1330,46131,HS,15,Portage Park,Albany Irving,27,12,1.70312E+14,41.68995131,-87.63753545,1.70993E+11,1.70993E+11,17031151001,both,both,1.70993E+11,2017,Illinois,1709930,792,52,2,0,4318621,15,0,0,15,0,both,19.8,884,566,5.3,64.02714932,94.7,80.2,17031151001,both,46131,Edwin G. Foreman College and Career Academy,10672391,both,174,30292,17031151001,both,2016,1-Jan-16,17,31,17031151001,41.9424,-87.75434,9.679,3.5324,both
609709,GAGE PARK HS,66,27,40.9,2017,1.70993E+11,809,Gage Park High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1.50163E+12,5630 S Rockwell St,Chicago,IL,60629,5630 S Rockwell St,Chicago,IL,60629,(773)535-9230,Illinois,41.79102,-87.689367,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,22,328,0,328,No,Yes,No,No,330,17001,17001,1.70993E+11,1703,,Yes under the Community Eligibility Provision (CEP),609709,Gage Park HS,Gage Park High School,Gage Park HS,Gage Park High School,5630,S,Rockwell St,Chicago,IL,60629,1340,46141,HS,63,Gage Park,McKinley Park,17,7,1.70318E+14,41.76971342,-87.63718937,1.70993E+11,1.70993E+11,17031835100,both,both,1.70993E+11,2017,Illinois,1709930,329,24,1,0,1912312.625,53,0,0,53,0,both,22.7,1348,938,19.8,69.58456973,80.2,77.3,17031835100,both,46141,Gage Park High School,6417880,both,446,23046,17031835100,both,2016,1-Jan-16,17,31,17031835100,41.79021,-87.68631,9.9719,3.7955,both
