School ID,School Name,Enrollment Pct.3,college_enroll_pct,year,ncessch,school_id,school_name,leaid,lea_name,state_leaid,seasch,street_mailing,city_mailing,state_mailing,zip_mailing,street_location,city_location,state_location,zip_location,phone,fips,latitude,longitude,csa,cbsa,urban_centric_locale,county_code,school_level,school_type,school_status,lowest_grade_offered,highest_grade_offered,bureau_indian_education,title_i_status,title_i_eligible,title_i_schoolwide,charter,magnet,shared_time,virtual,teachers_fte,free_lunch,reduced_price_lunch,free_or_reduced_price_lunch,elem_cedp,high_cedp,middle_cedp,ungrade_cedp,enrollment,state_leg_district_lower,state_leg_district_upper,ncessch_num,congress_district_id,direct_certification,lunch_program,schoolid_cps,schoolname_cps,fullname_cps,schoolname2_cps,isbe_name_cps,street_number_cps,street_direction_cps,street_name_cps,city_cps,state_cps,zip_cps,cps_unit_cps,oracleid_cps,school_category_cps,community_area_number_cps,community_area_cps,geographicarea_cps,geographic_area_number_cps,cook_county_district_cps,census_block_cps,latitude_cps,longitude_cps,ncessch_num_cps,ncessch_cps,census_tract_cps,cps_ccd_cw_merge,cw_not_in_cps_col_enrl,crdc_id,enrollment_crdc,teachers_certified_fte_crdc,counselors_fte_crdc,law_enforcement_fte_crdc,salaries_crdc,enrl_AP_crdc,enrl_AP_science_crdc,enrl_AP_math_crdc,enrl_AP_other_crdc,enrl_AP_language_crdc,crdc_not_matched,tot_hhld_census_tract,internet_rate,emp_rate_25_64,above_pov_rate,acs_not_matched,oracle_id,FY 2017 Ending Budget,cps_budget_not_in_cps_col_enrl,food_stamps,median_earnings,census_tract,inc_fs_not_matched,ctfips,ds_pm_pred,aqi_not_matched
609749,NORTHSIDE PREP HS,96,96.0,2017,170993003481,3481,Northside College Preparatory High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1501629900794,5501 N Kedzie Ave,Chicago,IL,60625,5501 N Kedzie Ave,Chicago,IL,60625,(773)534-3954,Illinois,41.981351,-87.707935,176,16980,City large,17031,High,Regular school,Open,9,12,,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,Yes,No,No,59.0,470.0,0.0,470.0,No,Yes,No,No,1061.0,17013,17007,170993003481,1705,,Yes under the Community Eligibility Provision (CEP),609749,Northside Prep HS,Northside College Preparatory High School,Northside Prep HS,Northside College Preparatory Hs,5501,N,Kedzie Ave,Chicago,IL,60625,1740.0,46061,HS,13.0,North Park,Albany Irving,27.0,12.0,170318318005000,41.8037718312,-87.5904575634999,170993003481,170993003481,17031831800,both,both,170993003481,1059,64.5,4.0,1.0,5719404.0,627,224,271,578,0,both,2151,76.61552766155276,94.6,86.4,both,46061,9894098,both,365,30148,17031831800,both,17031831800,71.9305,both
609737,VON STEUBEN HS,80.3,80.3,2017,170993001180,1180,Von Steuben Metro Science High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1501629900046,5039 N Kimball Ave,Chicago,IL,60625,5039 N Kimball Ave,Chicago,IL,60625,(773)534-5100,Illinois,41.973222,-87.713126,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,Yes,No,No,95.0,1303.0,0.0,1303.0,No,Yes,No,No,1726.0,17015,17008,170993001180,1705,,Yes under the Community Eligibility Provision (CEP),609737,Von Steuben HS,Friedrich W von Steuben Metropolitan Science HS,Von Steuben HS,Von Steuben Metro Science HS,5039,N,Kimball Ave,Chicago,IL,60625,1610.0,47081,HS,13.0,North Park,Albany Irving,27.0,12.0,170318318004000,41.8075094709,-87.6430031536,170993001180,170993001180,17031831800,both,both,170993001180,1726,100.5,6.0,0.0,8329470.0,567,174,72,521,0,both,2151,76.61552766155276,94.6,86.4,both,47081,15605599,both,365,30148,17031831800,both,17031831800,71.9305,both
610391,LINDBLOM HS,94.6,94.6,2017,170993005791,5791,Lindblom Math & Science Academy High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1501629900833,6130 S Wolcott Ave,Chicago,IL,60636,6130 S Wolcott Ave,Chicago,IL,60636,(773)535-9300,Illinois,41.78211,-87.672162,176,16980,City large,17031,High,Regular school,Open,7,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,Yes,No,No,75.0,892.0,0.0,892.0,No,Yes,Yes,No,1325.0,17006,17003,170993005791,1707,,Yes under the Community Eligibility Provision (CEP),610391,Lindblom HS,Robert Lindblom Math & Science Academy HS,Lindblom HS,Lindblom Math & Science Acad HS,6130,S,Wolcott Ave,Chicago,IL,60636,7110.0,46511,HS,67.0,West Englewood,Englewood,4.0,2.0,170316706002004,41.8944493760999,-87.7261296105999,170993005791,170993005791,17031670600,both,both,170993005791,1325,82.5,4.0,3.0,6520020.5,662,204,116,597,0,both,373,43.96782841823057,52.5,53.5,both,46511,11225332,both,185,24250,17031670600,both,17031670600,69.8533,both
609720,LANE TECH HS,92.6,92.6,2017,170993000942,942,Lane Technical High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1501629900027,2501 W Addison St,Chicago,IL,60618,2501 W Addison St,Chicago,IL,60618,(773)534-5400,Illinois,41.945356,-87.690624,176,16980,City large,17031,High,Regular school,Open,7,12,,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,Yes,No,No,217.0,2100.0,0.0,2100.0,No,Yes,Yes,No,4429.0,17011,17006,170993000942,1705,,Yes under the Community Eligibility Provision (CEP),609720,Lane HS,Albert G Lane Technical High School,Lane HS,Lane Technical High School,2501,W,Addison St,Chicago,IL,60618,1440.0,46221,HS,5.0,North Center,Logan,9.0,12.0,170318437001018,41.7904824288999,-87.7803947179999,170993000942,170993000942,17031843700,both,both,170993000942,4441,231.0,10.0,0.0,19039190.0,3247,608,391,3173,0,both,963,84.11214953271028,96.0,95.1,both,46221,31323487,both,52,55938,17031843700,both,17031843700,70.7126,both
610402,DEVRY HS,87,87.0,2017,170993005790,5790,Devry Advantage Academy High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1501629900832,3300 N Campbell Ave,Chicago,IL,60618,3300 N Campbell Ave,Chicago,IL,60618,(773)697-2216,Illinois,41.941039,-87.691119,176,16980,City large,17031,High,Regular school,Open,11,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,8.0,137.0,0.0,137.0,No,Yes,No,No,193.0,17011,17006,170993005790,1705,,Yes under the Community Eligibility Provision (CEP),610402,Devry HS,DeVry University Advantage Academy HS,Devry HS,Devry Advantage Academy High Schl,3300,N,Campbell,Chicago,IL,60618,6990.0,46521,HS,5.0,North Center,Logan,9.0,12.0,170318437001021,41.9655200272,-87.6524725414,170993005790,170993005790,17031843700,both,both,170993005790,193,10.5,1.0,0.0,981791.75,130,69,30,84,0,both,963,84.11214953271028,96.0,95.1,both,46521,2365254,both,52,55938,17031843700,both,17031843700,70.7126,both
609755,YOUNG HS,89.4,89.4,2017,170993000714,714,Young Magnet High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1501629900764,211 S Laflin St,Chicago,IL,60607,211 S Laflin St,Chicago,IL,60607,(773)534-7500,Illinois,41.87827,-87.663686,176,16980,City large,17031,High,Regular school,Open,7,12,,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,Yes,No,No,108.0,873.0,0.0,873.0,No,Yes,Yes,No,2157.0,17009,17005,170993000714,1707,,Yes under the Community Eligibility Provision (CEP),609755,Young HS,Whitney M Young Magnet High School,Young HS,Young Magnet High School,211,S,Laflin St,Chicago,IL,60607,1810.0,47101,HS,28.0,Near West Side,Near West,23.0,2.0,170318331003031,41.6912481756999,-87.7177706096999,170993000714,170993000714,17031833100,both,both,170993000714,2159,119.0,8.0,0.0,10478300.0,1111,425,163,1049,0,both,3820,88.03664921465969,98.2,87.6,both,47101,17899161,both,395,89086,17031833100,both,17031833100,70.4221,both
609678,JONES HS,88.8,88.8,2017,170993000990,990,Jones College Prep High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1501629900533,700 S State St,Chicago,IL,60605,700 S State St,Chicago,IL,60605,(773)534-8600,Illinois,41.874066,-87.628054,176,16980,City large,17031,High,Regular school,Open,9,12,,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,Yes,No,No,100.0,735.0,0.0,735.0,No,Yes,No,No,1861.0,17006,17003,170993000990,1707,,Yes under the Community Eligibility Provision (CEP),609678,Jones HS,William Jones College Preparatory High School,Jones HS,Jones College Prep High School,700,S,State St,Chicago,IL,60605,1060.0,47021,HS,32.0,Loop,Loop,1.0,2.0,170318390004004,41.7371464977,-87.5732667996999,170993000990,170993000990,17031839000,both,both,170993000990,1865,109.6,7.0,0.0,8996421.0,1210,310,268,1081,0,both,4720,85.21186440677965,97.1,79.8,both,47021,14343535,both,335,60016,17031839000,both,17031839000,69.7877,both
609738,LINCOLN PARK HS,88.6,88.6,2017,170993001185,1185,Lincoln Park High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1501629900047,2001 N Orchard St,Chicago,IL,60614,2001 N Orchard St,Chicago,IL,60614,(773)534-8130,Illinois,41.919347,-87.645354,176,16980,City large,17031,High,Regular school,Open,9,12,,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,118.0,1166.0,0.0,1166.0,No,Yes,No,No,2113.0,17010,17005,170993001185,1705,,Yes under the Community Eligibility Provision (CEP),609738,Lincoln Park HS,Lincoln Park High School,Lincoln Park HS,Lincoln Park High School,2001,N,Orchard St,Chicago,IL,60614,1620.0,46321,HS,7.0,Lincoln Park,Lincoln Park,29.0,10.0,170310712002007,41.8021046709,-87.6119314691,170993001185,170993001185,17031071200,both,both,170993001185,2101,127.5,6.0,0.0,10498951.0,723,233,185,620,0,both,936,90.06410256410257,99.2,90.1,both,46321,17286653,both,36,66818,17031071200,both,17031071200,70.4959,both
610529,OGDEN HS,87.2,87.2,2017,170993006093,6093,Ogden International High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1501629900855,1250 W Erie St,Chicago,IL,60642,1250 W Erie St,Chicago,IL,60642,(773)534-0866,Illinois,41.893928,-87.6585,176,16980,City large,17031,High,Regular school,Open,6,12,,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,98.0,465.0,0.0,465.0,No,Yes,Yes,No,890.0,17004,17002,170993006093,1705,,No,610529,Ogden HS,Ogden International High School,Ogden HS,Ogden Int High School,1250,W,Erie St,Chicago,IL,60622,8083.0,24731,HS,24.0,West Town,Near North,10.0,8.0,170312432001011,41.893528,87.65941,170993006093,170993006093,17031243200,both,both,170993006093,885,107.0,4.0,0.0,7618877.0,2,0,0,2,0,both,928,94.71982758620688,97.4,89.2,both,24731,13726159,both,42,60411,17031243200,both,17031243200,70.7644,both
609751,KING HS,85.4,85.4,2017,170993000931,931,King College Prep High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1501629900039,4445 S Drexel Blvd,Chicago,IL,60653,4445 S Drexel Blvd,Chicago,IL,60653,(773)535-1180,Illinois,41.813881,-87.602917,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,Yes,No,No,38.0,480.0,0.0,480.0,No,Yes,No,No,599.0,17025,17013,170993000931,1707,,Yes under the Community Eligibility Provision (CEP),609751,King HS,Dr  Martin Luther King  Jr  College Prep HS,King HS,King College Prep High School,4445,S,Drexel Blvd,Chicago,IL,60653,1760.0,46371,HS,39.0,Kenwood,Bronzeville,15.0,3.0,170313903002009,41.981314779,-87.7087445721,170993000931,170993000931,17031390300,both,both,170993000931,600,41.0,2.0,0.0,3808821.75,245,65,51,195,0,both,1439,57.47046560111188,89.2,58.6,both,46371,7185948,both,560,35371,17031390300,both,17031390300,69.392,both
609726,BROOKS HS,85,85.0,2017,170993002031,2031,Brooks College Prep Academy High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1501629900788,250 E 111th St,Chicago,IL,60628,250 E 111th St,Chicago,IL,60628,(773)535-9930,Illinois,41.694049,-87.615882,176,16980,City large,17031,High,Regular school,Open,7,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,Yes,No,No,46.0,691.0,0.0,691.0,No,Yes,Yes,No,962.0,17028,17014,170993002031,1702,,Yes under the Community Eligibility Provision (CEP),609726,Brooks HS,Gwendolyn Brooks College Preparatory Academy HS,Brooks HS,Brooks College Prep Academy HS,250,E,111th St,Chicago,IL,60628,1500.0,47051,HS,49.0,Roseland,Far South Side,22.0,5.0,170314909013022,41.9875672366,-87.7025193446999,170993002031,170993002031,17031490901,both,both,170993002031,961,54.0,4.0,2.0,4781425.0,627,50,87,614,0,both,1420,71.3380281690141,75.3,83.5,both,47051,8779490,both,499,25813,17031490901,both,17031490901,68.6159,both
400035,CHICAGO MATH & SCIENCE HS,84.9,84.9,2017,170993005092,5092,Chicago Math & Science Elementary Charter,1709930,City of Chicago SD 299,IL-15-016-2990-25,150162990217C,7212 N Clark St,Chicago,IL,60626,7212 N Clark St,Chicago,IL,60626,(773)761-8960,Illinois,42.008825,-87.672858,176,16980,City large,17031,High,Regular school,Open,6,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,Yes,Yes,No,No,39.0,554.0,0.0,554.0,No,Yes,Yes,No,596.0,17014,17007,170993005092,1709,,Yes under the Community Eligibility Provision (CEP),400035,Chgo Math & Sci Acad Campus HS,Chicago Math and Science Academy High School,Chgo Math & Sci Acad Campus HS,Chicago Math & Sci Elem Charter,7212,N,Clark St,Chicago,IL,60626,7940.0,66281,HS,1.0,Rogers Park,Ravenswood,30.0,13.0,170310102022002,42.0130346119999,-87.6747818606,170993005092,170993005092,17031010202,both,both,170993005092,592,45.0,2.0,0.0,2232963.0,112,33,62,84,0,both,976,69.87704918032787,93.9,82.5,both,66281,6831023,both,250,25643,17031010202,both,17031010202,70.2399,both
400094,EPIC HS,84.2,84.2,2017,170993006088,6088,EPIC Academy High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,150162990015C,8255 S Houston Ave,Chicago,IL,60617,8255 S Houston Ave,Chicago,IL,60617,(773)535-7930,Illinois,41.744942,-87.549779,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,Yes,No,No,No,1.0,518.0,0.0,518.0,No,Yes,No,No,538.0,17025,17013,170993006088,1702,,Yes under the Community Eligibility Provision (CEP),400094,Epic Chtr HS,EPIC Academy High School,Epic Chtr HS,EPIC Academy High School,8255,S,Houston Ave,Chicago,IL,60617,8058.0,63081,HS,46.0,South Chicago,South Shore,11.0,4.0,170314601004005,41.7448481837,-87.5502589914,170993006088,170993006088,17031460100,both,both,170993006088,541,29.0,1.0,0.0,3436328.0,32,0,0,32,0,both,1105,67.51131221719457,79.7,59.5,both,63081,5988562,both,489,25115,17031460100,both,17031460100,67.9392,both
609753,CHICAGO AGRICULTURE HS,84.2,84.2,2017,170993005147,5147,Chicago High School for Agricultural Sciences,1709930,City of Chicago SD 299,IL-15-016-2990-25,1501629900772,3857 W 111th St,Chicago,IL,60655,3857 W 111th St,Chicago,IL,60655,(773)535-2500,Illinois,41.690023,-87.717329,176,16980,City large,17031,High,Regular school,Open,9,12,,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,Yes,No,No,40.0,289.0,0.0,289.0,No,Yes,No,No,718.0,17035,17018,170993005147,1701,,Yes under the Community Eligibility Provision (CEP),609753,Chgo Agr HS,Chicago High School for Agricultural Sciences,Chgo Agr HS,Chicago HS for Agricult Sciences,3857,W,111th St,Chicago,IL,60655,1790.0,47091,HS,74.0,Mount Greenwood,Beverly,3.0,11.0,170317404003008,41.8643649233,-87.6687589328,170993005147,170993005147,17031740400,both,both,170993005147,718,44.0,2.0,8.0,4145785.25,36,0,0,36,0,both,1818,73.54235423542355,96.5,96.3,both,47091,9198786,both,83,50254,17031740400,both,17031740400,68.78359999999999,both
609746,KENWOOD HS,83.1,83.1,2017,170993000925,925,Kenwood Academy High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1501629900025,5015 S Blackstone Av,Chicago,IL,60615,5015 S Blackstone Av,Chicago,IL,60615,(773)535-1350,Illinois,41.803407,-87.589655,176,16980,City large,17031,High,Regular school,Open,7,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,92.0,1050.0,0.0,1050.0,No,Yes,Yes,No,1756.0,17025,17013,170993000925,1701,,Yes under the Community Eligibility Provision (CEP),609746,Kenwood HS,Kenwood Academy High School,Kenwood HS,Kenwood Academy High School,5015,S,Blackstone Ave,Chicago,IL,60615,1710.0,46361,HS,39.0,Kenwood,Hyde Park,14.0,3.0,170313907002006,41.9829450848,-87.7223855851,170993000925,170993000925,17031390700,both,both,170993000925,1755,101.5,5.0,3.0,8097600.5,400,112,52,333,0,both,3287,76.33100091268633,88.9,80.6,both,46361,14429178,both,165,44058,17031390700,both,17031390700,68.693,both
610340,CHICAGO ACADEMY HS,82.9,82.9,2017,170993005061,5061,Chicago Academy High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1501629900820,3400 N Austin Ave,Chicago,IL,60634,3400 N Austin Ave,Chicago,IL,60634,(773)534-0146,Illinois,41.943327,-87.776988,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,31.0,451.0,0.0,451.0,No,Yes,No,No,542.0,17039,17020,170993005061,1705,,No,610340,Chgo Acad HS,Chicago Academy High School,Chgo Acad HS,Chicago Academy High School,3400,N,Austin Ave,Chicago,IL,60634,7770.0,46481,HS,17.0,Dunning,Reed-Dunning,24.0,12.0,170311711001012,41.8862374964,-87.7154238419,170993005061,170993005061,17031171100,both,both,170993005061,542,34.0,1.0,0.0,2478414.0,93,28,17,81,0,both,1260,75.47619047619048,97.0,89.7,both,46481,5315770,both,56,36960,17031171100,both,17031171100,73.02199999999999,both
610524,ALCOTT HS,82.5,82.5,2017,170993006072,6072,Alcott Humanities High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1501629900849,2957 N Hoyne Ave,Chicago,IL,60618,2957 N Hoyne Ave,Chicago,IL,60618,(773)534-5970,Illinois,41.935468,-87.680351,176,16980,City large,17031,High,Regular school,Open,9,12,,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,56.0,264.0,0.0,264.0,No,Yes,No,No,311.0,17011,17006,170993006072,1705,,No,610524,Alcott HS,Alcott High School for the Humanities,Alcott HS,Alcott Humanities High School,2957,N,Hoyne Ave,Chicago,IL,60618,8035.0,22041,HS,5.0,North Center,Lincoln Park,29.0,8.0,170310514002003,41.7712216704,-87.6664932336999,170993006072,170993006072,17031051400,both,both,170993006072,311,62.0,2.0,0.0,4869135.0,84,22,40,50,0,both,787,88.31003811944092,95.3,91.8,both,22041,8184750,both,69,61000,17031051400,both,17031051400,70.7462,both
609694,HANCOCK HS,81,81.0,2017,170993001980,1980,Hancock College Preparatory High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1501629900779,4034 W 56th St,Chicago,IL,60629,4034 W 56th St,Chicago,IL,60629,(773)535-2410,Illinois,41.791703,-87.724928,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,Yes,No,No,52.0,835.0,0.0,835.0,No,Yes,No,No,967.0,17022,17011,170993001980,1703,,Yes under the Community Eligibility Provision (CEP),609694,Hancock HS,John Hancock College Preparatory High School,Hancock HS,Hancock College Preparatory HS,4034,W,56th St,Chicago,IL,60629,1200.0,46021,HS,62.0,West Elsdon,McKinley Park,17.0,7.0,170316203001002,41.7457867051,-87.6354462756,170993001980,170993001980,17031620300,both,both,170993001980,971,57.5,3.0,0.0,4828365.0,349,50,36,323,0,both,1993,79.17711991971902,91.8,90.1,both,46021,8207701,both,448,28426,17031620300,both,17031620300,71.5166,both
610384,INFINITY HS,79.7,79.7,2017,170993005795,5795,Infinity Math  Science & Tech High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1501629900837,3120 S Kostner Ave,Chicago,IL,60623,3120 S Kostner Ave,Chicago,IL,60623,(773)535-4225,Illinois,41.834922,-87.735531,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,Yes,No,No,27.0,399.0,0.0,399.0,No,Yes,No,No,417.0,17021,17011,170993005795,1704,,No,610384,Infinity HS,Infinity Math Science and Technology High School,Infinity HS,Infinity Math  Science & Tech HS,3120,S,Kostner Ave,Chicago,IL,60623,7680.0,55151,HS,30.0,South Lawndale,Pilsen - Little Village,16.0,7.0,170318305001006,41.8045587817,-87.6244105627,170993005795,170993005795,17031830500,both,both,170993005795,418,27.5,1.0,0.0,2051183.5,93,5,37,73,0,both,1072,76.86567164179104,90.4,69.4,both,55151,4415800,both,256,22264,17031830500,both,17031830500,72.0762,both
610392,WORLD LANGUAGE HS,77,77.0,2017,170993005788,5788,World Language High School,1709930,City of Chicago SD 299,IL-15-016-2990-25,1501629900830,3120 S Kostner Ave,Chicago,IL,60623,3120 S Kostner Ave,Chicago,IL,60623,(773)535-4334,Illinois,41.835226,-87.735982,176,16980,City large,17031,High,Regular school,Open,9,12,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,Yes,No,No,18.0,341.0,0.0,341.0,No,Yes,No,No,354.0,17021,17011,170993005788,1704,,No,610392,World Language HS,World Language Academy High School,World Language HS,World Language High School,3120,S,Kostner Ave,Chicago,IL,60623,4460.0,52011,HS,30.0,South Lawndale,Pilsen - Little Village,16.0,7.0,170318305001006,41.9890331928,-87.6651879968,170993005788,170993005788,17031830500,both,both,170993005788,352,23.5,2.0,0.0,1815029.625,105,13,0,105,0,both,1072,76.86567164179104,90.4,69.4,both,52011,3727377,both,256,22264,17031830500,both,17031830500,72.0762,both
